Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
1	2580.382	28.992174	2616.373	2535.6145	0.3202372	0.25646624	1.0	0.052135352	31.31987953186035
2	2604.3306	32.53831	2648.825	2562.237	0.014080482	0.012357217	0.05208357	0.0039945617	72.1014895439148
3	2526.3303	81.773865	2593.2637	2387.5461	0.0035892853	0.00034742543	0.004088754	0.0026257203	114.97911167144775
4	2574.727	163.69867	2836.8896	2390.6309	0.004212218	0.0011932299	0.005981663	0.0013925865	157.7541892528534
5	3485.979	244.06569	3871.9165	3206.5632	0.011083956	0.008554615	0.030848568	0.001313705	200.08903646469116
6	3849.254	120.838486	4014.6873	3703.4636	0.040396094	0.0032449358	0.04496311	0.030859942	243.32314133644104
7	3811.5127	17.580484	3839.111	3795.352	0.049750317	0.00665723	0.06842367	0.038186833	286.97361159324646
8	3930.4	33.810394	3987.975	3902.974	0.061362654	0.0038460076	0.07098746	0.054623276	330.64656949043274
9	4033.183	28.166945	4075.3032	4006.4102	0.050382547	0.0060216254	0.06434724	0.04363901	371.7486732006073
10	4096.6436	32.96316	4140.2	4060.8232	0.05120971	0.005755175	0.06221872	0.04228867	412.8980267047882
11	3923.3315	87.887054	4059.9932	3839.6797	0.05342005	0.0038034553	0.061970282	0.04625076	454.96660137176514
12	3978.7847	27.502321	4003.82	3932.2422	0.055373102	0.0031579079	0.061485052	0.047402337	496.795845746994
13	3905.0728	47.288975	3979.8655	3857.7737	0.049289316	0.0027251737	0.05433622	0.04251149	537.4595501422882
14	3921.826	34.864605	3968.6716	3880.3308	0.04403294	0.002209106	0.04868836	0.039598703	578.8589310646057
15	3876.6533	25.015823	3916.3733	3853.844	0.041495357	0.0019802582	0.045999974	0.037142202	622.5771737098694
16	3917.903	28.853712	3956.6013	3887.5312	0.03846939	0.0018210063	0.043155957	0.03386248	665.2333078384399
17	3937.716	12.617527	3950.849	3921.5942	0.033034775	0.002253847	0.039828703	0.029870695	707.2099974155426
18	3910.2568	55.668785	4006.4565	3872.2761	0.03365507	0.0022874656	0.03791745	0.02913501	749.9601809978485
19	3878.532	79.123085	3964.0764	3749.3489	0.034125872	0.0029721556	0.039739672	0.02849315	790.2420659065247
20	3858.1592	65.18664	3948.1208	3778.2227	0.030953143	0.0038284536	0.039466638	0.024757307	829.5784640312195
21	4115.005	77.80245	4198.759	4000.4092	0.029915642	0.002750392	0.037457544	0.02502813	872.6494948863983
22	4147.0977	167.83455	4376.076	3928.4646	0.03454004	0.0024817328	0.0404358	0.028582333	914.3173015117645
23	3873.167	97.23063	4040.1865	3801.8467	0.03769536	0.002140247	0.041980647	0.031221641	956.0061185359955
24	4121.212	46.55152	4163.2036	4048.3281	0.036304563	0.0021286942	0.041654915	0.031839665	998.4419047832489
25	4169.7227	78.40172	4281.79	4075.5793	0.0336158	0.0016249444	0.037015475	0.029292727	1041.1564927101135
26	4306.6035	58.542656	4406.2085	4255.663	0.031076133	0.0023299335	0.035875604	0.02606739	1084.1282787322998
27	4331.466	56.564907	4410.5796	4264.9995	0.02528534	0.0012206262	0.02831422	0.023081949	1123.7602264881134
28	4124.242	307.16867	4491.862	3798.9656	0.02065976	0.002179361	0.024646662	0.017257042	1167.0702631473541
29	4130.91	301.4049	4377.667	3624.5532	0.022935614	0.004048029	0.029516764	0.016778797	1205.9642210006714
30	4198.281	271.9303	4482.4536	3771.3337	0.027652169	0.0036662968	0.036886457	0.019854005	1248.6822848320007
31	4403.2417	215.82379	4573.9106	4032.8147	0.022316227	0.0016524125	0.025198208	0.018753322	1289.0976088047028
32	4716.097	273.6124	5126.595	4359.7686	0.025887128	0.0018904709	0.030642683	0.022299327	1328.9742522239685
33	5325.419	65.954506	5423.5703	5237.8135	0.028291926	0.0038406767	0.036810096	0.022959301	1369.9626162052155
34	5100.034	125.932816	5299.0454	4955.1094	0.030177606	0.0009206329	0.034282204	0.028623939	1412.9029178619385
35	4873.5054	265.7306	5151.8228	4533.676	0.035613872	0.0028907976	0.04162909	0.030673368	1455.102958202362
36	5035.009	268.01843	5417.602	4679.2373	0.04248692	0.0027214577	0.048843995	0.036859848	1492.0369760990143
37	4332.7646	101.4006	4475.9346	4195.185	0.035551775	0.0029247892	0.041072298	0.029328898	1533.1916241645813
38	5129.6826	590.91473	5792.1562	4240.9463	0.031667825	0.0029046105	0.038070843	0.027234817	1576.2602851390839
39	4984.8823	237.44502	5391.7344	4801.255	0.035429638	0.0033518397	0.04230312	0.02894102	1618.9599072933197
40	5360.5234	219.4463	5550.3096	4988.052	0.03479376	0.0025392298	0.040495925	0.02973227	1660.0909399986267
41	5273.6465	122.52372	5416.452	5133.4478	0.03254902	0.0043766657	0.040843237	0.024383917	1698.8510270118713
42	5708.062	152.59694	5963.685	5582.4937	0.041598473	0.005852233	0.05190439	0.029116357	1740.9431157112122
43	5063.2363	344.00928	5535.9263	4593.404	0.03242287	0.0034912901	0.039625358	0.025517244	1784.8632032871246
44	3432.1335	346.43658	3868.1665	2947.247	0.032128945	0.005112298	0.04418071	0.02090997	1827.04731798172
45	3858.645	847.9087	5181.453	3047.7966	0.0288688	0.006202284	0.037514325	0.018188251	1870.8930683135986
46	5461.7456	70.67727	5521.1177	5341.031	0.032653697	0.0036690992	0.040468197	0.028256169	1913.2619836330414
47	5352.9385	121.52394	5536.8877	5230.0327	0.035283066	0.0025198346	0.03965216	0.030070104	1954.4078314304352
48	5253.0615	181.5256	5539.936	5036.4014	0.035402246	0.0016791809	0.03980051	0.032221086	1995.5435667037964
49	5079.8105	155.04457	5235.804	4848.6484	0.038272463	0.008368531	0.06568323	0.029512733	2038.2585666179657
50	4999.1826	13.34923	5015.962	4979.505	0.03064747	0.0016154222	0.034810837	0.027922615	2079.5238597393036
51	5168.787	202.4622	5506.328	4968.4624	0.04218575	0.0053865886	0.05051191	0.031007675	2116.836937189102
52	5632.782	341.8847	5966.578	5136.1846	0.042077903	0.0031593058	0.049850754	0.035735577	2158.5691187381744
53	6353.476	259.4686	6642.7373	5959.8457	0.037134252	0.0029168425	0.046136104	0.03001057	2201.390340566635
54	5610.41	512.8426	6485.459	5174.7827	0.034235764	0.0021419814	0.038247827	0.028995976	2246.2440695762634
55	6110.277	768.63	6607.6367	4781.4556	0.042489287	0.0056843976	0.053960472	0.032138158	2289.4449315071106
56	5542.165	1245.699	6540.3506	3406.262	0.040720943	0.0068316488	0.053465262	0.029656269	2332.1527185440063
57	5427.528	725.9554	6011.114	4186.919	0.03226802	0.0021399327	0.038766082	0.028779335	2372.669345140457
58	4074.085	895.73816	5617.4805	3460.8591	0.035636164	0.0055330084	0.049709342	0.024099808	2415.676784992218
59	6730.4272	265.7022	7001.0786	6406.1543	0.039162606	0.0038860573	0.04976015	0.030520061	2459.795590877533
