Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
1	2598.9087	14.669553	2623.6802	2585.3699	0.3195719	0.25657052	1.0	0.051824473	29.559656381607056
2	2617.6528	22.47761	2654.2617	2595.2305	0.012865014	0.013085829	0.05177273	0.0015233118	66.89961433410645
3	2635.379	320.1124	3085.5828	2180.2048	0.004275526	0.0019054505	0.0077591687	0.0017502615	106.1816234588623
4	2739.2583	313.8703	3091.8198	2286.3364	0.016306477	0.008981909	0.033306055	0.0031624169	147.7058243751526
5	2814.7979	790.1759	3451.9177	1466.147	0.026829662	0.0039596427	0.034998022	0.019245567	189.7586636543274
6	3196.004	1194.6624	4047.0396	1136.3967	0.038046107	0.012453047	0.072008185	0.025378523	232.1972095966339
7	3888.1895	86.39269	3999.7751	3757.0342	0.07804984	0.005483206	0.09000547	0.06922015	273.94461488723755
8	4080.8015	120.80049	4256.384	3919.6995	0.06317967	0.0065883743	0.07727452	0.052659694	315.95473170280457
9	4041.823	80.46537	4172.3228	3973.1934	0.083509445	0.011734585	0.0969092	0.05925397	358.1278233528137
10	4069.0361	25.70324	4088.674	4025.846	0.069458544	0.008740458	0.08785675	0.057676457	400.5395381450653
11	4232.3633	90.40048	4344.5093	4114.116	0.06160196	0.0060247337	0.073955946	0.053074658	442.1777274608612
12	4289.7646	13.195196	4304.877	4268.565	0.05249619	0.0022958645	0.055369962	0.04742948	480.85854506492615
13	4316.383	35.82551	4343.7	4254.8003	0.06862398	0.02116413	0.12426894	0.05083087	518.1368670463562
14	4367.012	109.20078	4547.402	4253.299	0.06195655	0.013196401	0.10353914	0.05143249	555.4536139965057
15	4523.842	80.18106	4655.4443	4452.9556	0.06001378	0.013843342	0.107010536	0.04669339	591.3168351650238
16	4578.325	57.3823	4634.627	4483.207	0.05092712	0.008295002	0.07932324	0.04441678	629.7116167545319
17	4677.1753	35.076458	4712.253	4638.618	0.050486565	0.0019023789	0.053853698	0.0456122	671.0975587368011
18	4748.894	54.74704	4840.795	4699.3213	0.047819182	0.0021618458	0.05384539	0.044253662	713.2830016613007
19	4814.546	20.872793	4838.4336	4782.3125	0.047876313	0.0026851485	0.054698195	0.04280567	751.5685045719147
20	4836.3823	80.77119	4904.0635	4704.686	0.046918403	0.0024150994	0.05250265	0.043498952	788.9751875400543
21	4781.363	90.23635	4918.1665	4673.857	0.042869955	0.0037678236	0.052283764	0.038152624	827.5648000240326
22	4733.845	315.5893	5018.233	4212.7534	0.050254785	0.004702498	0.06158872	0.044430595	866.5587365627289
23	5092.4375	81.745346	5193.527	4975.083	0.054838724	0.0030592647	0.063077584	0.048540365	909.3846085071564
24	4939.5767	86.68928	5056.3945	4850.4795	0.0555634	0.0022879974	0.060671214	0.051144674	949.196501493454
25	4833.325	261.82465	5060.086	4413.258	0.061290745	0.002827914	0.067492776	0.055353094	990.1990597248077
26	4983.9033	135.11327	5143.958	4812.9775	0.06327762	0.00636181	0.07148647	0.053440027	1032.3896136283875
27	4709.795	85.66946	4853.7417	4634.239	0.066833876	0.0030113442	0.076206215	0.061386574	1074.9011561870575
28	4758.668	130.84435	4925.91	4601.057	0.07499006	0.0035173558	0.08289631	0.06694741	1116.4109287261963
29	4887.108	131.97768	5003.083	4675.5337	0.07954924	0.0037288202	0.09150423	0.07363789	1156.3783617019653
30	4961.2754	133.89738	5151.3086	4816.884	0.08897522	0.0063430434	0.10093339	0.07919788	1194.2800197601318
31	5086.729	30.805904	5120.312	5040.4995	0.09255382	0.0027970672	0.09729165	0.08640729	1234.3816730976105
32	4915.915	19.955774	4938.584	4894.868	0.08821967	0.003838516	0.09769283	0.082585394	1272.00749874115
33	4858.341	229.30333	5086.679	4573.27	0.087147586	0.0019848265	0.09293019	0.08201475	1313.686880350113
34	4911.4062	134.02641	5046.0205	4690.1665	0.08006663	0.0055053523	0.09279628	0.068692505	1356.2486453056335
35	4861.821	95.64511	5011.529	4747.414	0.076316506	0.005441836	0.088528536	0.06756886	1398.016236782074
36	4749.1396	59.01749	4823.588	4669.402	0.068115555	0.0025693357	0.07393731	0.06310397	1440.1309111118317
37	4896.0024	69.12007	5003.3613	4816.9546	0.07203325	0.0032517288	0.07674085	0.06419672	1482.0788764953613
38	4958.4185	102.25052	5106.724	4851.684	0.07522283	0.0033243543	0.081704706	0.067790784	1522.4510970115662
39	4769.4106	134.63675	4924.747	4554.397	0.07152118	0.006795488	0.08383014	0.057658993	1563.7611904144287
40	4855.082	153.53188	5049.217	4649.5186	0.058654908	0.0036904258	0.06545855	0.05182283	1600.5139164924622
41	4733.612	80.07036	4852.4336	4636.0312	0.06105707	0.004227821	0.068076916	0.052755564	1639.706735610962
