Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
1	2615.5945	33.5257	2671.1145	2581.25	0.32020894	0.25646842	1.0	0.052120622	31.219813108444214
2	2592.3994	34.646942	2636.728	2557.3647	0.0133337425	0.012909086	0.052068632	0.002315552	69.45146799087524
3	2602.666	116.783615	2732.7256	2413.2786	0.0012626047	0.00061462045	0.0023148125	0.000229906	112.06607913970947
4	2800.5703	391.8132	3456.0789	2417.59	0.002966865	0.0020325982	0.0060062255	0.00023287197	155.49729704856873
5	3491.3232	103.7066	3645.6096	3379.106	0.023071792	0.013197273	0.04510203	0.0060084397	197.16190791130066
6	3881.356	127.95906	4035.4558	3685.6377	0.042750377	0.0032329247	0.05044003	0.036975585	238.89022731781006
7	4248.851	92.86648	4335.574	4097.8735	0.05841903	0.009710984	0.074964084	0.04125863	281.6419720649719
8	4257.7524	277.50854	4734.3667	4040.73	0.06517784	0.007922984	0.078044444	0.04409301	322.8191635608673
9	4300.964	50.86319	4359.4355	4223.974	0.0766379	0.0063398816	0.09065492	0.06670304	364.592618227005
10	4308.583	39.80239	4375.0645	4273.569	0.08335064	0.0063654454	0.09636775	0.06964012	407.30622482299805
11	4302.5977	20.422596	4331.0537	4276.6255	0.0817821	0.005360708	0.09214769	0.07084343	448.5098030567169
12	4363.724	21.229656	4397.163	4340.5327	0.07764844	0.0057546636	0.09128839	0.066562966	490.38155245780945
13	4422.024	41.393604	4491.932	4388.6133	0.07243158	0.0043339534	0.082381934	0.061594564	533.1555261611938
14	4435.114	40.970024	4482.8623	4375.2583	0.0578873	0.0036667348	0.067582145	0.050925765	575.5754632949829
15	4351.632	19.949198	4377.8667	4327.79	0.053003963	0.002590751	0.05769945	0.046517704	617.416068315506
16	4461.7725	46.76714	4516.695	4390.911	0.04878521	0.0033012037	0.05586101	0.041272487	659.4458289146423
17	4559.5244	16.985035	4580.554	4533.4185	0.04503644	0.0022665828	0.050159685	0.04024832	703.150276184082
18	4585.6704	53.83943	4660.027	4507.8745	0.041155588	0.0022116995	0.046891756	0.03575528	747.9963052272797
19	4638.368	51.473896	4702.9844	4566.121	0.041157622	0.002602123	0.04820225	0.03598444	790.0248205661774
20	4732.7715	54.499672	4824.4575	4686.279	0.038549356	0.0018269035	0.041614644	0.033588257	832.3915457725525
21	4842.9287	23.582355	4872.5396	4808.325	0.038253818	0.001737133	0.042873826	0.034370672	870.833153963089
22	4940.961	59.196995	5013.281	4862.8066	0.040279288	0.0022690862	0.045808993	0.036304638	912.0253360271454
23	4919.023	64.54848	5014.8213	4850.319	0.051793348	0.012801751	0.0872889	0.037390806	954.2946553230286
24	4907.2725	315.40292	5445.0674	4671.184	0.07712006	0.015083037	0.10416433	0.04443995	997.3871459960938
25	5448.566	98.08783	5528.1685	5281.097	0.07782262	0.011787355	0.091945335	0.04624279	1040.7894163131714
26	5118.772	40.096516	5156.4717	5060.446	0.08626619	0.0070645525	0.09981556	0.07313179	1081.5342495441437
27	4962.5723	55.99837	5018.2163	4876.3438	0.049049545	0.014093143	0.086302206	0.030460944	1124.601308107376
28	4049.0059	767.8299	4952.684	3280.9731	0.035026897	0.005270131	0.045204923	0.025226822	1165.3565311431885
29	4074.145	718.48615	4885.4517	3272.4153	0.0617324	0.008408491	0.0809162	0.043854088	1207.2478423118591
30	3992.0925	740.6623	4770.001	2789.986	0.048558	0.0054680803	0.06678284	0.036950793	1250.4064106941223
31	4055.366	692.59375	4939.21	3212.5432	0.056574676	0.01176595	0.08116718	0.037451837	1291.0786786079407
32	4819.685	226.75636	5097.215	4499.284	0.06419752	0.0070987246	0.08134374	0.050330125	1333.833509683609
33	4873.8433	93.18317	4981.7773	4726.647	0.060515475	0.008408702	0.0782838	0.042619903	1377.144492149353
34	4351.9185	150.07834	4590.25	4177.8433	0.050831	0.0064513306	0.0622861	0.034457576	1418.8110194206238
