Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
1	2612.58	32.136303	2654.9944	2564.4592	0.32026282	0.25647703	1.0	0.05212829	30.842787504196167
2	2572.422	45.50875	2632.018	2504.7996	0.01370202	0.0126303565	0.05207624	0.00307601	70.86001420021057
3	2586.5955	33.947784	2621.3704	2550.6514	0.0023691843	0.00027346704	0.0030744716	0.001923801	113.25551414489746
4	2538.8777	53.733	2593.3105	2453.8855	0.002276988	0.00039169437	0.003123349	0.0016687348	156.4887216091156
5	2461.5398	219.58382	2600.2126	2081.4382	0.004444126	0.0016363857	0.006948366	0.0012984753	198.99759721755981
6	1882.7073	434.69852	2320.6826	1411.5212	0.0047428426	0.001191615	0.007827012	0.002933358	242.6350736618042
7	1971.5743	480.1198	2530.7954	1466.0748	0.01053134	0.006241173	0.022637844	0.002561941	285.25367546081543
8	3542.319	191.97095	3873.5344	3409.7725	0.029872045	0.02030416	0.06722218	0.004085396	321.6443176269531
9	3397.3735	47.775078	3456.1519	3329.994	0.06273165	0.0057025054	0.071528316	0.04983639	357.9106271266937
10	3430.2532	63.585644	3537.992	3382.7476	0.06621507	0.0096472595	0.08786056	0.053075887	394.1461977958679
11	3573.075	61.95466	3664.527	3502.802	0.08166308	0.021145847	0.14734897	0.061305724	430.60832834243774
12	3667.788	11.931364	3676.9573	3647.8054	0.111076206	0.02247175	0.16986984	0.07253441	473.9389705657959
13	3682.9106	48.27752	3743.2598	3621.2986	0.11501164	0.0055281376	0.12473757	0.09806764	517.7083556652069
14	3868.961	73.19971	3937.5828	3749.668	0.08454506	0.023578681	0.13826872	0.057994153	561.4976124763489
15	3922.6904	85.01822	4023.9224	3828.6077	0.064417616	0.010254264	0.08072671	0.04762036	599.6303706169128
16	3983.8083	32.840065	4034.7542	3945.4805	0.0471454	0.004942293	0.05862466	0.03669424	637.5582544803619
17	4051.526	38.61734	4099.043	3991.9136	0.04832741	0.002144201	0.05332281	0.044275317	674.5377976894379
18	4068.4087	73.17204	4193.5137	4016.1726	0.06658579	0.008103884	0.07823617	0.047586687	711.9434192180634
19	3935.4656	15.353939	3954.8367	3912.6123	0.068383135	0.0032097786	0.0775623	0.061837956	756.757648229599
20	4055.0107	38.492973	4112.9346	4006.0532	0.062432457	0.0064872	0.07644885	0.054227635	800.8546750545502
21	4062.6824	68.53146	4136.415	3958.6177	0.05203766	0.0066457447	0.06422241	0.03647808	845.0438129901886
22	4183.473	100.128006	4280.1597	4015.5073	0.053806525	0.007464678	0.07105438	0.042591378	888.3743844032288
23	4382.585	89.99691	4480.595	4258.5977	0.056293663	0.008483079	0.06761605	0.04161221	931.2994034290314
24	4309.7407	123.68859	4511.0977	4176.3433	0.060120337	0.005675942	0.06939156	0.048363548	975.026113986969
25	4327.2954	40.244026	4373.7173	4281.7144	0.06404045	0.0031092295	0.07229146	0.058643058	1018.3274548053741
26	4334.634	63.181225	4393.271	4232.213	0.06264674	0.001885621	0.06740651	0.05830219	1061.6682903766632
27	4353.908	24.736588	4394.0996	4332.4995	0.06083246	0.0040247957	0.07117985	0.05172402	1104.9861907958984
28	4404.1455	59.653156	4487.999	4342.3687	0.055344388	0.005175255	0.06542667	0.041196316	1148.4976992607117
29	4621.1553	71.84115	4697.5605	4507.7827	0.055676255	0.0061120237	0.07352752	0.040319316	1191.9441993236542
30	4697.989	47.048	4746.346	4636.8994	0.07379022	0.0041215396	0.08258531	0.06594309	1236.0719492435455
31	4715.567	43.76149	4777.8076	4665.9985	0.05981221	0.006649412	0.07136872	0.043502834	1281.3916449546814
32	4757.753	138.6027	4949.883	4579.343	0.057141885	0.010991653	0.07929676	0.04084196	1326.1808927059174
33	4688.6514	105.15883	4842.644	4551.9434	0.05195598	0.0061887954	0.06844837	0.038947288	1369.937821149826
34	4484.06	177.24426	4725.369	4236.9355	0.055676408	0.005103578	0.0672422	0.045273587	1413.6994397640228
35	4670.878	42.96712	4722.5938	4603.307	0.06756003	0.0038410632	0.07576427	0.060511705	1454.7697715759277
36	4618.239	86.59607	4743.883	4500.225	0.07165042	0.0048396476	0.08025653	0.055863127	1496.300805091858
37	4598.372	107.81061	4741.9053	4445.011	0.07675849	0.004968917	0.08630465	0.065409794	1540.3725113868713
38	4389.68	213.03273	4713.308	4116.812	0.07880543	0.0039651697	0.08852802	0.069241636	1584.006115436554
39	4448.3687	51.794098	4530.6562	4393.837	0.07381122	0.0042116316	0.08530306	0.0659503	1627.1741433143616
40	4632.666	83.98605	4756.9756	4534.8145	0.06607956	0.003518107	0.073838346	0.0598089	1670.4388010501862
41	5014.018	53.20496	5097.227	4952.5356	0.06720615	0.00417782	0.07864521	0.05906221	1713.9378786087036
42	4986.5566	95.31829	5112.247	4844.313	0.064995125	0.005259046	0.076548986	0.05225924	1757.2478544712067
43	4690.123	224.37181	4888.578	4329.873	0.06861585	0.008245577	0.08144081	0.04846537	1800.3403804302216
44	4555.543	148.6791	4746.4624	4350.7554	0.057296723	0.0060811513	0.072671935	0.046618313	1843.5787460803986
45	5069.723	129.69211	5243.116	4893.9795	0.056585528	0.0065232953	0.070172586	0.045789853	1886.9542889595032
46	4934.471	138.26495	5155.919	4778.6924	0.042011254	0.0033553503	0.05022651	0.034071404	1930.2423031330109
47	4669.335	55.61344	4746.336	4590.181	0.048459396	0.005314395	0.05895372	0.039683133	1973.4842736721039
48	4945.269	161.69772	5138.2334	4693.5225	0.0451682	0.0048052827	0.054307867	0.03576957	2016.7066485881805
49	4871.6084	289.98154	5254.51	4464.3105	0.046705917	0.00485549	0.0563229	0.037920922	2060.063648223877
50	4525.1855	637.21545	5293.279	3625.5781	0.039564546	0.0039853007	0.044823483	0.02706059	2103.516565799713
51	5376.485	66.36268	5463.453	5278.5454	0.0420531	0.005821614	0.054338433	0.026190924	2146.5701072216034
52	5023.833	812.8471	6276.8174	4131.4946	0.063165024	0.008626513	0.07640366	0.04305221	2189.8070974349976
53	5565.9907	440.546	5999.3013	4829.4517	0.058496863	0.0041097268	0.064988166	0.04409929	2233.252828359604
54	5190.334	133.43744	5321.826	4981.5493	0.057127826	0.0026358822	0.06372281	0.050941635	2276.437937259674
55	5699.4263	477.59164	6286.6323	4969.516	0.05654763	0.0028004185	0.06458074	0.050732076	2319.698842048645
56	4851.73	205.83249	5121.722	4582.67	0.051824424	0.003932492	0.061407637	0.04506474	2362.813669681549
57	5986.635	458.9096	6390.063	5208.7227	0.044323552	0.0029091272	0.053503543	0.036294498	2406.0795097351074
58	6304.7607	381.1789	6812.1826	5795.415	0.049883947	0.003396935	0.056322705	0.042685047	2449.6085584163666
59	6627.346	378.05023	7029.5073	6096.0283	0.048893623	0.002894917	0.056180637	0.044114944	2493.980892896652
60	6503.848	171.43184	6681.971	6246.0176	0.04804054	0.0023180877	0.053947724	0.043297213	2538.825048685074
61	5567.342	1623.3198	7392.779	3917.035	0.048444085	0.0022907406	0.05319312	0.04224452	2583.905818939209
